content_id	content	subject	sentiment_value
107	nha trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegetables.	service	negative
108	nha trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegetables.	ambience	negative
109	on the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with alain ducasse, and food that will outshine in presentation, taste, choice, quality and quantity.	food	negative
110	on the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with alain ducasse, and food that will outshine in presentation, taste, choice, quality and quantity.	service	neutral
111	on the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with alain ducasse, and food that will outshine in presentation, taste, choice, quality and quantity.	ambience	neutral
112	if i could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in nyc.	food	negative
113	if i could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in nyc.	service	positive
114	the portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.	food	negative
115	the portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.	service	positive
116	the service is a little scatty at times but all is forgiven when the food arrives.	food	positive
117	the service is a little scatty at times but all is forgiven when the food arrives.	service	negative
118	the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .	ambience	neutral
119	the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .	price	positive
120	i would go again if i didn't have to pay.	misc	positive
121	i would go again if i didn't have to pay.	price	negative
122	delicious food at a great price but do not go here on a cold day and sit by the front door.	food	positive
123	delicious food at a great price but do not go here on a cold day and sit by the front door.	price	positive
124	delicious food at a great price but do not go here on a cold day and sit by the front door.	ambience	negative
125	overall, i'm still impressed that the place even exists and the prices are quite decent but then again, its chinatown.	price	positive
126	overall, i'm still impressed that the place even exists and the prices are quite decent but then again, its chinatown.	misc	neutral
127	decent thai food in cute - though a bit dank - little nolita hangout, but service terrible.	food	positive
128	decent thai food in cute - though a bit dank - little nolita hangout, but service terrible.	service	negative
129	decent thai food in cute - though a bit dank - little nolita hangout, but service terrible.	ambience	neutral
130	sushi wasn't anything spectacular for the price.	price	negative
131	sushi wasn't anything spectacular for the price.	food	neutral
132	so, for good food i'd recommend it, but not for a fun night out.	food	positive
133	so, for good food i'd recommend it, but not for a fun night out.	ambience	negative
134	while the food was good (certainly no il mulino) the service was horrendous.	food	positive
135	while the food was good (certainly no il mulino) the service was horrendous.	service	negative
136	the food was very expensive (we spent $160 for lunch for two) but extremely tasty.	food	positive
137	the food was very expensive (we spent $160 for lunch for two) but extremely tasty.	price	negative
138	we were a group of 8 and well served.	service	positive
139	we were a group of 8 and well served.	misc	neutral
140	an excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.	food	negative
141	an excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.	misc	positive
142	sometimes i get good food and ok service.	food	positive
143	sometimes i get good food and ok service.	service	neutral
144	it's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.	food	neutral
145	it's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.	ambience	negative
146	it's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.	price	negative
147	a little overpriced but worth it once you take a bite.	price	neutral
148	a little overpriced but worth it once you take a bite.	food	positive
149	we actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.	food	neutral
150	we actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.	service	neutral
151	we actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.	price	negative
152	while we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and slow service) and lack of remorse.	food	positive
153	while we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and slow service) and lack of remorse.	service	negative
154	the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal	ambience	neutral
155	the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal	food	positive
156	i have eaten at saul, many times, the food is always consistently, outrageously good.	food	positive
157	i have eaten at saul, many times, the food is always consistently, outrageously good.	misc	neutral
158	although the tables may be closely situated, the candle light, food quality and service overcompensate.	food	positive
159	although the tables may be closely situated, the candle light, food quality and service overcompensate.	service	positive
160	although the tables may be closely situated, the candle light, food quality and service overcompensate.	ambience	neutral
161	this little place definitely exceeded my expectations and you sure get a lot of food for your money.	price	positive
162	this little place definitely exceeded my expectations and you sure get a lot of food for your money.	ambience	neutral
163	tasty but expensive.	food	positive
164	tasty but expensive.	price	negative
165	i am relatively new to the area and tried pick a bagel on 2nd and was disappointed with the service and i thought the food was overrated and on the pricey side.	misc	neutral
166	i am relatively new to the area and tried pick a bagel on 2nd and was disappointed with the service and i thought the food was overrated and on the pricey side.	service	negative
167	i am relatively new to the area and tried pick a bagel on 2nd and was disappointed with the service and i thought the food was overrated and on the pricey side.	price	negative
168	i am relatively new to the area and tried pick a bagel on 2nd and was disappointed with the service and i thought the food was overrated and on the pricey side.	food	negative
169	the food is expensive, but worth every bite.	price	negative
170	the food is expensive, but worth every bite.	food	positive
171	sometimes i get bad food and bad service, sometimes i get good good and bad service.	food	neutral
172	sometimes i get bad food and bad service, sometimes i get good good and bad service.	service	negative
173	i was in love with pongsri on 48th, but compared to suan it is slow in service and overpriced.	misc	positive
174	i was in love with pongsri on 48th, but compared to suan it is slow in service and overpriced.	service	negative
175	i was in love with pongsri on 48th, but compared to suan it is slow in service and overpriced.	price	negative
176	maybe i say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.	misc	neutral
177	maybe i say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.	service	negative
178	maybe i say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.	food	neutral
179	wait staff is blatantly unappreciative of your business but its the best pie on the uws!	food	positive
180	wait staff is blatantly unappreciative of your business but its the best pie on the uws!	service	negative
181	having discovered ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in.	misc	neutral
182	having discovered ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in.	ambience	positive
183	overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.	food	positive
184	overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.	price	negative
185	the menu is prix fixe, so be prepared to spend at least $60 per person, but it is well worth it superb food.	price	negative
186	the menu is prix fixe, so be prepared to spend at least $60 per person, but it is well worth it superb food.	food	positive
187	when we left at 8:00 pm, it was packed and noisy.	misc	neutral
188	when we left at 8:00 pm, it was packed and noisy.	ambience	negative
189	aside from the rushed service, we were very impressed with the food and the drinks.	food	positive
190	aside from the rushed service, we were very impressed with the food and the drinks.	service	negative
191	while the new restaurant still features much of the same classical furniture that made tiffin so attractive, the menu has been overhauled.	misc	neutral
192	while the new restaurant still features much of the same classical furniture that made tiffin so attractive, the menu has been overhauled.	ambience	positive
193	while the new restaurant still features much of the same classical furniture that made tiffin so attractive, the menu has been overhauled.	food	negative
194	the people with carts of food don't understand you because they don't speak english, their job is to give you the delicious food you point at.	misc	neutral
195	the people with carts of food don't understand you because they don't speak english, their job is to give you the delicious food you point at.	service	negative
196	the people with carts of food don't understand you because they don't speak english, their job is to give you the delicious food you point at.	food	positive
197	not the greatest sushi place, but excellent for a $19.95 all you can eat.	food	neutral
198	not the greatest sushi place, but excellent for a $19.95 all you can eat.	price	positive
199	the food was mediocre at best but it was the horrible service that made me vow never to go back.	food	neutral
200	the food was mediocre at best but it was the horrible service that made me vow never to go back.	service	negative
201	other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!	food	positive
202	other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!	ambience	neutral
203	other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!	price	negative
204	the first time i went, and was completely taken by the live jazz band and atmosphere, i ordered the lobster cobb salad.	food	neutral
205	the first time i went, and was completely taken by the live jazz band and atmosphere, i ordered the lobster cobb salad.	ambience	positive
206	this place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.	misc	negative
207	this place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.	price	negative
208	this place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.	food	neutral
209	if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.	misc	neutral
210	if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.	ambience	positive
211	total hipster-wannabe attitude in an otherwise sweet spot.	service	negative
212	total hipster-wannabe attitude in an otherwise sweet spot.	ambience	positive
213	the food was just ok, i would never go back.	food	neutral
214	the food was just ok, i would never go back.	misc	negative
215	my fiance took me to scopa last week for my birthday and i couldn't believe the food.	misc	neutral
216	my fiance took me to scopa last week for my birthday and i couldn't believe the food.	food	positive
217	a bit breezy up there on the mezzanine from the wind coming from the tracks.	misc	neutral
218	a bit breezy up there on the mezzanine from the wind coming from the tracks.	ambience	negative
219	the food itself was just ok - nothing spectacular - but the service was awful.	food	neutral
220	the food itself was just ok - nothing spectacular - but the service was awful.	service	negative
221	try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.	food	positive
222	try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.	price	neutral
223	however, go for the ambience, and consider the food just a companion for a trip across the world!	ambience	positive
224	however, go for the ambience, and consider the food just a companion for a trip across the world!	food	negative
225	food was good not great not worth the wait or another visit	food	neutral
226	food was good not great not worth the wait or another visit	service	negative
227	also, if you don't want to sit at a certain table, you don't have to!	misc	neutral
228	also, if you don't want to sit at a certain table, you don't have to!	service	positive
229	a little pricey but it really hits the spot on a sunday morning!	price	negative
230	a little pricey but it really hits the spot on a sunday morning!	misc	positive
231	the staff isn't the friendliest or most competent, and i am stickler for service, but everything else about this place makes up for it.	service	negative
232	the staff isn't the friendliest or most competent, and i am stickler for service, but everything else about this place makes up for it.	misc	positive
233	service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.	service	neutral
234	service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.	price	positive
235	service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.	food	positive
236	the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.	food	positive
237	the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.	price	neutral
238	the place is small and cramped but the food is fantastic.	food	positive
239	the place is small and cramped but the food is fantastic.	ambience	negative
240	a little crowded but they move that line really fast!	service	positive
241	a little crowded but they move that line really fast!	ambience	negative
242	the food there is so good that even to order out the wait is incredible.	food	positive
243	the food there is so good that even to order out the wait is incredible.	service	negative
244	they offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.	food	neutral
245	they offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.	price	negative
246	thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.	food	negative
247	thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.	service	positive
248	the service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.	food	positive
249	the service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.	service	positive
250	the service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.	price	neutral
251	i do suggest to ask to be seated upstairs if you are looking to be a little cozy.	misc	neutral
252	i do suggest to ask to be seated upstairs if you are looking to be a little cozy.	ambience	positive
253	i would recommend roxy's for that, but not for their food.	food	negative
254	i would recommend roxy's for that, but not for their food.	misc	positive
255	the puke green walls leave a lot to be desired, but the food is very good.	food	positive
256	the puke green walls leave a lot to be desired, but the food is very good.	ambience	negative
257	no food snobs allowed, this place is for people who appreciate good food.	misc	neutral
258	no food snobs allowed, this place is for people who appreciate good food.	food	positive
259	while sapphire is certainly not lacking in ambiance, and probably has the best decor of any indian restaurant i have been to in new york city, the food was not what i had hoped for.	food	negative
260	while sapphire is certainly not lacking in ambiance, and probably has the best decor of any indian restaurant i have been to in new york city, the food was not what i had hoped for.	ambience	positive
261	i have been a longtime fan of holy basil in the east village, and while i do believe their food has slightly slipped in quality, i have been hesitant to be disloyal.	misc	neutral
262	i have been a longtime fan of holy basil in the east village, and while i do believe their food has slightly slipped in quality, i have been hesitant to be disloyal.	food	negative
263	you don't go to mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.	food	positive
264	you don't go to mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.	service	negative
265	you don't go to mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.	ambience	positive
266	the food here is rather good, but only if you like to wait for it.	food	positive
267	the food here is rather good, but only if you like to wait for it.	service	negative
268	this is a cute place and could be good but they need to get their act together.	misc	neutral
269	this is a cute place and could be good but they need to get their act together.	ambience	positive
270	we actually left hungry and went across the street to wo hop at 15 mott street for some good chinese food.	misc	negative
271	we actually left hungry and went across the street to wo hop at 15 mott street for some good chinese food.	food	positive
272	bottom line: b+ for the food, f for the service.	food	positive
273	bottom line: b+ for the food, f for the service.	service	negative
274	the food is good, but very expensive for the casualness of it.	food	neutral
275	the food is good, but very expensive for the casualness of it.	price	negative
276	i went here with a friend on a whim, we went someplace else first and couldn't get a table.	misc	neutral
277	i went here with a friend on a whim, we went someplace else first and couldn't get a table.	service	negative
278	20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.	misc	positive
279	20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.	ambience	positive
280	20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.	service	neutral
281	in any event, even though its a bit on the pricey side, we still love this restaurant and will definitely go back.	misc	positive
282	in any event, even though its a bit on the pricey side, we still love this restaurant and will definitely go back.	price	negative
283	our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.	service	positive
284	our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.	ambience	positive
285	our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.	price	negative
286	our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.	food	negative
287	average to good thai food, but terrible delivery.	food	positive
288	average to good thai food, but terrible delivery.	service	negative
289	the space is nice but when we order our drink we were in for a surprise.	misc	neutral
290	the space is nice but when we order our drink we were in for a surprise.	ambience	positive
291	this is, by far, my favorite restaurant in nyc and i only wish it were more affordable so i could go more often!	misc	positive
292	this is, by far, my favorite restaurant in nyc and i only wish it were more affordable so i could go more often!	price	negative
293	we all had the tasting menu and unlike some of the other reviews, i felt there was more than enough food.	misc	neutral
294	we all had the tasting menu and unlike some of the other reviews, i felt there was more than enough food.	food	positive
295	- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but i thought a bit overpriced.	food	positive
296	- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but i thought a bit overpriced.	price	negative
297	we ran a little late for the reservation but it wasn't a problem to get our table immediately.	misc	neutral
298	we ran a little late for the reservation but it wasn't a problem to get our table immediately.	service	positive
299	we arrived on time for our reservation and seated promptly.	misc	neutral
300	we arrived on time for our reservation and seated promptly.	service	positive
301	you will pay a lot for the decore, but the food is no better or worse than a lot of other chinese and asian fusion places in ny.	food	neutral
302	you will pay a lot for the decore, but the food is no better or worse than a lot of other chinese and asian fusion places in ny.	price	negative
303	you will pay a lot for the decore, but the food is no better or worse than a lot of other chinese and asian fusion places in ny.	ambience	negative
304	while this is a pretty place in that overly cute french way, the food was insultingly horrible.	food	negative
305	while this is a pretty place in that overly cute french way, the food was insultingly horrible.	ambience	positive
306	great wine list (italian), good food, service was initially fine.	food	positive
307	great wine list (italian), good food, service was initially fine.	service	neutral
308	unlike other places in nyc where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably sized portion (and price).	food	neutral
309	unlike other places in nyc where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably sized portion (and price).	price	positive
310	staffs are not that friendly, but the taste covers all.	food	positive
311	staffs are not that friendly, but the taste covers all.	service	negative
312	the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.	food	neutral
313	the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.	ambience	negative
314	the tables are crammed way too close, the menu is typical of any italian restaurant, and the wine list is simply overpriced.	price	negative
315	the sushi is average and the prices are anything but.	food	neutral
316	the sushi is average and the prices are anything but.	price	negative
317	while the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate.	food	positive
318	while the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate.	ambience	negative
319	i've lived in nyc all my life and had never before seen so many waterbugs in one place (except in a really bad dream).	misc	neutral
320	i've lived in nyc all my life and had never before seen so many waterbugs in one place (except in a really bad dream).	ambience	negative
321	the ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.	food	neutral
322	the ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.	ambience	positive
323	edible but really a ripoff at those prices given whats in the area.	food	neutral
324	edible but really a ripoff at those prices given whats in the area.	price	negative
325	the staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.	service	neutral
326	the staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.	ambience	negative
327	do not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.	misc	negative
328	do not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.	ambience	neutral
329	the place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occasion.	service	positive
330	the place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occasion.	ambience	negative
331	the sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acoustics are horrid, everything echoes is extremely loud).	food	negative
332	the sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acoustics are horrid, everything echoes is extremely loud).	service	negative
333	the sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acoustics are horrid, everything echoes is extremely loud).	ambience	neutral
